GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US240037011011,240037011011,"Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland",873,164
1500000US240037011012,240037011012,"Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland",829,193
1500000US240037011013,240037011013,"Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland",787,182
1500000US240037011014,240037011014,"Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland",1570,255
1500000US240037011021,240037011021,"Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland",3128,547
1500000US240037011022,240037011022,"Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland",966,278
1500000US240037011023,240037011023,"Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland",2148,496
1500000US240037011024,240037011024,"Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland",2054,497
1500000US240037012001,240037012001,"Block Group 1, Census Tract 7012, Anne Arundel County, Maryland",2448,483
1500000US240037012002,240037012002,"Block Group 2, Census Tract 7012, Anne Arundel County, Maryland",1454,341
1500000US240037012003,240037012003,"Block Group 3, Census Tract 7012, Anne Arundel County, Maryland",1907,422
1500000US240037012004,240037012004,"Block Group 4, Census Tract 7012, Anne Arundel County, Maryland",2847,674
1500000US240037013001,240037013001,"Block Group 1, Census Tract 7013, Anne Arundel County, Maryland",1816,471
1500000US240037013002,240037013002,"Block Group 2, Census Tract 7013, Anne Arundel County, Maryland",2009,358
1500000US240037013003,240037013003,"Block Group 3, Census Tract 7013, Anne Arundel County, Maryland",1193,389
1500000US240037013004,240037013004,"Block Group 4, Census Tract 7013, Anne Arundel County, Maryland",2772,591
1500000US240037014001,240037014001,"Block Group 1, Census Tract 7014, Anne Arundel County, Maryland",825,163
1500000US240037014002,240037014002,"Block Group 2, Census Tract 7014, Anne Arundel County, Maryland",2690,249
1500000US240037021001,240037021001,"Block Group 1, Census Tract 7021, Anne Arundel County, Maryland",3173,405
1500000US240037021002,240037021002,"Block Group 2, Census Tract 7021, Anne Arundel County, Maryland",809,247
1500000US240037021003,240037021003,"Block Group 3, Census Tract 7021, Anne Arundel County, Maryland",1370,341
1500000US240037021004,240037021004,"Block Group 4, Census Tract 7021, Anne Arundel County, Maryland",1199,275
1500000US240037021005,240037021005,"Block Group 5, Census Tract 7021, Anne Arundel County, Maryland",597,234
1500000US240037022041,240037022041,"Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland",2332,235
1500000US240037022042,240037022042,"Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland",1904,238
1500000US240037022051,240037022051,"Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland",2006,367
1500000US240037022052,240037022052,"Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland",2269,353
1500000US240037022053,240037022053,"Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland",1471,380
1500000US240037022061,240037022061,"Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland",2957,554
1500000US240037022062,240037022062,"Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland",1952,452
1500000US240037022063,240037022063,"Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland",1785,372
1500000US240037022081,240037022081,"Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland",4510,414
1500000US240037022082,240037022082,"Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland",2629,577
1500000US240037022091,240037022091,"Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland",1561,252
1500000US240037022092,240037022092,"Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland",1301,244
1500000US240037022093,240037022093,"Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland",1605,275
1500000US240037023001,240037023001,"Block Group 1, Census Tract 7023, Anne Arundel County, Maryland",762,203
1500000US240037023002,240037023002,"Block Group 2, Census Tract 7023, Anne Arundel County, Maryland",1859,247
1500000US240037023003,240037023003,"Block Group 3, Census Tract 7023, Anne Arundel County, Maryland",1646,231
1500000US240037023004,240037023004,"Block Group 4, Census Tract 7023, Anne Arundel County, Maryland",1359,212
1500000US240037024021,240037024021,"Block Group 1, Census Tract 7024.02, Anne Arundel County, Maryland",1721,277
1500000US240037024022,240037024022,"Block Group 2, Census Tract 7024.02, Anne Arundel County, Maryland",3299,357
1500000US240037024023,240037024023,"Block Group 3, Census Tract 7024.02, Anne Arundel County, Maryland",1321,239
1500000US240037025001,240037025001,"Block Group 1, Census Tract 7025, Anne Arundel County, Maryland",1237,389
1500000US240037025002,240037025002,"Block Group 2, Census Tract 7025, Anne Arundel County, Maryland",1305,577
1500000US240037025003,240037025003,"Block Group 3, Census Tract 7025, Anne Arundel County, Maryland",2559,619
1500000US240037025004,240037025004,"Block Group 4, Census Tract 7025, Anne Arundel County, Maryland",848,274
1500000US240037026011,240037026011,"Block Group 1, Census Tract 7026.01, Anne Arundel County, Maryland",489,221
1500000US240037026012,240037026012,"Block Group 2, Census Tract 7026.01, Anne Arundel County, Maryland",1727,342
