GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US421010001001,421010001001,"Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",1911,281
1500000US421010001002,421010001002,"Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",2244,389
1500000US421010002001,421010002001,"Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",2683,447
1500000US421010003001,421010003001,"Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",910,208
1500000US421010003002,421010003002,"Block Group 2, Census Tract 3, Philadelphia County, Pennsylvania",2624,304
1500000US421010004011,421010004011,"Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania",2632,287
1500000US421010004021,421010004021,"Block Group 1, Census Tract 4.02, Philadelphia County, Pennsylvania",1354,290
1500000US421010004022,421010004022,"Block Group 2, Census Tract 4.02, Philadelphia County, Pennsylvania",1945,346
1500000US421010005001,421010005001,"Block Group 1, Census Tract 5, Philadelphia County, Pennsylvania",2514,903
1500000US421010006001,421010006001,"Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania",1207,221
1500000US421010007001,421010007001,"Block Group 1, Census Tract 7, Philadelphia County, Pennsylvania",791,186
1500000US421010007002,421010007002,"Block Group 2, Census Tract 7, Philadelphia County, Pennsylvania",1778,366
1500000US421010007003,421010007003,"Block Group 3, Census Tract 7, Philadelphia County, Pennsylvania",882,229
1500000US421010008011,421010008011,"Block Group 1, Census Tract 8.01, Philadelphia County, Pennsylvania",1407,191
1500000US421010008031,421010008031,"Block Group 1, Census Tract 8.03, Philadelphia County, Pennsylvania",729,264
1500000US421010008032,421010008032,"Block Group 2, Census Tract 8.03, Philadelphia County, Pennsylvania",1192,319
1500000US421010008033,421010008033,"Block Group 3, Census Tract 8.03, Philadelphia County, Pennsylvania",687,228
1500000US421010008034,421010008034,"Block Group 4, Census Tract 8.03, Philadelphia County, Pennsylvania",395,143
1500000US421010008041,421010008041,"Block Group 1, Census Tract 8.04, Philadelphia County, Pennsylvania",2237,303
1500000US421010008042,421010008042,"Block Group 2, Census Tract 8.04, Philadelphia County, Pennsylvania",1061,245
1500000US421010008043,421010008043,"Block Group 3, Census Tract 8.04, Philadelphia County, Pennsylvania",1429,282
1500000US421010009011,421010009011,"Block Group 1, Census Tract 9.01, Philadelphia County, Pennsylvania",1092,210
1500000US421010009012,421010009012,"Block Group 2, Census Tract 9.01, Philadelphia County, Pennsylvania",857,138
1500000US421010009021,421010009021,"Block Group 1, Census Tract 9.02, Philadelphia County, Pennsylvania",1361,231
1500000US421010009022,421010009022,"Block Group 2, Census Tract 9.02, Philadelphia County, Pennsylvania",1292,230
1500000US421010010011,421010010011,"Block Group 1, Census Tract 10.01, Philadelphia County, Pennsylvania",1379,141
1500000US421010010012,421010010012,"Block Group 2, Census Tract 10.01, Philadelphia County, Pennsylvania",1193,222
1500000US421010010021,421010010021,"Block Group 1, Census Tract 10.02, Philadelphia County, Pennsylvania",1298,206
1500000US421010010022,421010010022,"Block Group 2, Census Tract 10.02, Philadelphia County, Pennsylvania",782,225
1500000US421010010023,421010010023,"Block Group 3, Census Tract 10.02, Philadelphia County, Pennsylvania",1229,242
1500000US421010011011,421010011011,"Block Group 1, Census Tract 11.01, Philadelphia County, Pennsylvania",596,146
1500000US421010011012,421010011012,"Block Group 2, Census Tract 11.01, Philadelphia County, Pennsylvania",1222,285
1500000US421010011013,421010011013,"Block Group 3, Census Tract 11.01, Philadelphia County, Pennsylvania",1001,244
1500000US421010011014,421010011014,"Block Group 4, Census Tract 11.01, Philadelphia County, Pennsylvania",943,259
1500000US421010011021,421010011021,"Block Group 1, Census Tract 11.02, Philadelphia County, Pennsylvania",905,173
1500000US421010011022,421010011022,"Block Group 2, Census Tract 11.02, Philadelphia County, Pennsylvania",1651,233
1500000US421010012011,421010012011,"Block Group 1, Census Tract 12.01, Philadelphia County, Pennsylvania",1328,325
1500000US421010012012,421010012012,"Block Group 2, Census Tract 12.01, Philadelphia County, Pennsylvania",1065,224
1500000US421010012013,421010012013,"Block Group 3, Census Tract 12.01, Philadelphia County, Pennsylvania",840,228
1500000US421010012014,421010012014,"Block Group 4, Census Tract 12.01, Philadelphia County, Pennsylvania",851,216
1500000US421010012021,421010012021,"Block Group 1, Census Tract 12.02, Philadelphia County, Pennsylvania",1395,233
1500000US421010012022,421010012022,"Block Group 2, Census Tract 12.02, Philadelphia County, Pennsylvania",919,192
1500000US421010012023,421010012023,"Block Group 3, Census Tract 12.02, Philadelphia County, Pennsylvania",1227,234
1500000US421010012024,421010012024,"Block Group 4, Census Tract 12.02, Philadelphia County, Pennsylvania",897,292
1500000US421010012025,421010012025,"Block Group 5, Census Tract 12.02, Philadelphia County, Pennsylvania",642,208
1500000US421010013001,421010013001,"Block Group 1, Census Tract 13, Philadelphia County, Pennsylvania",720,181
1500000US421010013002,421010013002,"Block Group 2, Census Tract 13, Philadelphia County, Pennsylvania",1215,404
1500000US421010013003,421010013003,"Block Group 3, Census Tract 13, Philadelphia County, Pennsylvania",740,389
1500000US421010013004,421010013004,"Block Group 4, Census Tract 13, Philadelphia County, Pennsylvania",982,333
1500000US421010013005,421010013005,"Block Group 5, Census Tract 13, Philadelphia County, Pennsylvania",2825,465
1500000US421010014001,421010014001,"Block Group 1, Census Tract 14, Philadelphia County, Pennsylvania",1558,252
1500000US421010014002,421010014002,"Block Group 2, Census Tract 14, Philadelphia County, Pennsylvania",522,216
1500000US421010014003,421010014003,"Block Group 3, Census Tract 14, Philadelphia County, Pennsylvania",2089,442
1500000US421010015001,421010015001,"Block Group 1, Census Tract 15, Philadelphia County, Pennsylvania",972,157
1500000US421010015002,421010015002,"Block Group 2, Census Tract 15, Philadelphia County, Pennsylvania",1957,215
1500000US421010016001,421010016001,"Block Group 1, Census Tract 16, Philadelphia County, Pennsylvania",874,207
1500000US421010016002,421010016002,"Block Group 2, Census Tract 16, Philadelphia County, Pennsylvania",1387,181
1500000US421010017001,421010017001,"Block Group 1, Census Tract 17, Philadelphia County, Pennsylvania",1289,225
1500000US421010017002,421010017002,"Block Group 2, Census Tract 17, Philadelphia County, Pennsylvania",1667,223
1500000US421010018001,421010018001,"Block Group 1, Census Tract 18, Philadelphia County, Pennsylvania",1109,233
1500000US421010018002,421010018002,"Block Group 2, Census Tract 18, Philadelphia County, Pennsylvania",2163,308
1500000US421010019001,421010019001,"Block Group 1, Census Tract 19, Philadelphia County, Pennsylvania",937,231
1500000US421010019002,421010019002,"Block Group 2, Census Tract 19, Philadelphia County, Pennsylvania",1507,290
1500000US421010019003,421010019003,"Block Group 3, Census Tract 19, Philadelphia County, Pennsylvania",937,292
1500000US421010020001,421010020001,"Block Group 1, Census Tract 20, Philadelphia County, Pennsylvania",1335,219
1500000US421010020002,421010020002,"Block Group 2, Census Tract 20, Philadelphia County, Pennsylvania",819,215
1500000US421010021001,421010021001,"Block Group 1, Census Tract 21, Philadelphia County, Pennsylvania",466,145
1500000US421010021002,421010021002,"Block Group 2, Census Tract 21, Philadelphia County, Pennsylvania",1814,289
1500000US421010022001,421010022001,"Block Group 1, Census Tract 22, Philadelphia County, Pennsylvania",718,234
1500000US421010022002,421010022002,"Block Group 2, Census Tract 22, Philadelphia County, Pennsylvania",610,196
1500000US421010022003,421010022003,"Block Group 3, Census Tract 22, Philadelphia County, Pennsylvania",1057,334
1500000US421010023001,421010023001,"Block Group 1, Census Tract 23, Philadelphia County, Pennsylvania",1125,330
1500000US421010023002,421010023002,"Block Group 2, Census Tract 23, Philadelphia County, Pennsylvania",1805,282
1500000US421010024001,421010024001,"Block Group 1, Census Tract 24, Philadelphia County, Pennsylvania",700,178
1500000US421010024002,421010024002,"Block Group 2, Census Tract 24, Philadelphia County, Pennsylvania",1753,449
1500000US421010024003,421010024003,"Block Group 3, Census Tract 24, Philadelphia County, Pennsylvania",1322,391
1500000US421010024004,421010024004,"Block Group 4, Census Tract 24, Philadelphia County, Pennsylvania",639,234
1500000US421010024005,421010024005,"Block Group 5, Census Tract 24, Philadelphia County, Pennsylvania",971,289
1500000US421010025001,421010025001,"Block Group 1, Census Tract 25, Philadelphia County, Pennsylvania",1403,316
1500000US421010025002,421010025002,"Block Group 2, Census Tract 25, Philadelphia County, Pennsylvania",947,222
1500000US421010025003,421010025003,"Block Group 3, Census Tract 25, Philadelphia County, Pennsylvania",536,148
1500000US421010025004,421010025004,"Block Group 4, Census Tract 25, Philadelphia County, Pennsylvania",1069,337
1500000US421010027011,421010027011,"Block Group 1, Census Tract 27.01, Philadelphia County, Pennsylvania",1059,419
1500000US421010027012,421010027012,"Block Group 2, Census Tract 27.01, Philadelphia County, Pennsylvania",1075,409
1500000US421010027013,421010027013,"Block Group 3, Census Tract 27.01, Philadelphia County, Pennsylvania",2280,531
1500000US421010027021,421010027021,"Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",1501,260
1500000US421010027022,421010027022,"Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",1005,234
1500000US421010027023,421010027023,"Block Group 3, Census Tract 27.02, Philadelphia County, Pennsylvania",959,312
1500000US421010027024,421010027024,"Block Group 4, Census Tract 27.02, Philadelphia County, Pennsylvania",871,193
1500000US421010028011,421010028011,"Block Group 1, Census Tract 28.01, Philadelphia County, Pennsylvania",1842,528
1500000US421010028012,421010028012,"Block Group 2, Census Tract 28.01, Philadelphia County, Pennsylvania",1467,556
1500000US421010028013,421010028013,"Block Group 3, Census Tract 28.01, Philadelphia County, Pennsylvania",1523,435
1500000US421010028021,421010028021,"Block Group 1, Census Tract 28.02, Philadelphia County, Pennsylvania",1647,609
1500000US421010028022,421010028022,"Block Group 2, Census Tract 28.02, Philadelphia County, Pennsylvania",1089,316
1500000US421010028023,421010028023,"Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",1085,326
1500000US421010028024,421010028024,"Block Group 4, Census Tract 28.02, Philadelphia County, Pennsylvania",1019,279
1500000US421010028025,421010028025,"Block Group 5, Census Tract 28.02, Philadelphia County, Pennsylvania",946,331
1500000US421010029001,421010029001,"Block Group 1, Census Tract 29, Philadelphia County, Pennsylvania",1199,512
1500000US421010029002,421010029002,"Block Group 2, Census Tract 29, Philadelphia County, Pennsylvania",1024,348
1500000US421010029003,421010029003,"Block Group 3, Census Tract 29, Philadelphia County, Pennsylvania",1849,448
1500000US421010030011,421010030011,"Block Group 1, Census Tract 30.01, Philadelphia County, Pennsylvania",487,195
1500000US421010030012,421010030012,"Block Group 2, Census Tract 30.01, Philadelphia County, Pennsylvania",815,191
1500000US421010030013,421010030013,"Block Group 3, Census Tract 30.01, Philadelphia County, Pennsylvania",1218,339
1500000US421010030014,421010030014,"Block Group 4, Census Tract 30.01, Philadelphia County, Pennsylvania",1010,320
1500000US421010030015,421010030015,"Block Group 5, Census Tract 30.01, Philadelphia County, Pennsylvania",613,234
1500000US421010030021,421010030021,"Block Group 1, Census Tract 30.02, Philadelphia County, Pennsylvania",903,279
1500000US421010030022,421010030022,"Block Group 2, Census Tract 30.02, Philadelphia County, Pennsylvania",941,329
1500000US421010030023,421010030023,"Block Group 3, Census Tract 30.02, Philadelphia County, Pennsylvania",555,203
1500000US421010030024,421010030024,"Block Group 4, Census Tract 30.02, Philadelphia County, Pennsylvania",552,188
1500000US421010031001,421010031001,"Block Group 1, Census Tract 31, Philadelphia County, Pennsylvania",1079,348
1500000US421010031002,421010031002,"Block Group 2, Census Tract 31, Philadelphia County, Pennsylvania",343,153
1500000US421010031003,421010031003,"Block Group 3, Census Tract 31, Philadelphia County, Pennsylvania",548,246
1500000US421010031004,421010031004,"Block Group 4, Census Tract 31, Philadelphia County, Pennsylvania",892,288
1500000US421010031005,421010031005,"Block Group 5, Census Tract 31, Philadelphia County, Pennsylvania",1081,311
1500000US421010031006,421010031006,"Block Group 6, Census Tract 31, Philadelphia County, Pennsylvania",376,139
1500000US421010032001,421010032001,"Block Group 1, Census Tract 32, Philadelphia County, Pennsylvania",1006,432
1500000US421010032002,421010032002,"Block Group 2, Census Tract 32, Philadelphia County, Pennsylvania",395,186
1500000US421010032003,421010032003,"Block Group 3, Census Tract 32, Philadelphia County, Pennsylvania",836,272
1500000US421010032004,421010032004,"Block Group 4, Census Tract 32, Philadelphia County, Pennsylvania",653,224
1500000US421010032005,421010032005,"Block Group 5, Census Tract 32, Philadelphia County, Pennsylvania",329,200
1500000US421010032006,421010032006,"Block Group 6, Census Tract 32, Philadelphia County, Pennsylvania",845,445
1500000US421010033001,421010033001,"Block Group 1, Census Tract 33, Philadelphia County, Pennsylvania",2196,698
1500000US421010033002,421010033002,"Block Group 2, Census Tract 33, Philadelphia County, Pennsylvania",746,276
1500000US421010033003,421010033003,"Block Group 3, Census Tract 33, Philadelphia County, Pennsylvania",667,382
1500000US421010033004,421010033004,"Block Group 4, Census Tract 33, Philadelphia County, Pennsylvania",417,233
1500000US421010033005,421010033005,"Block Group 5, Census Tract 33, Philadelphia County, Pennsylvania",753,255
1500000US421010033006,421010033006,"Block Group 6, Census Tract 33, Philadelphia County, Pennsylvania",1395,607
1500000US421010036001,421010036001,"Block Group 1, Census Tract 36, Philadelphia County, Pennsylvania",2123,519
1500000US421010036002,421010036002,"Block Group 2, Census Tract 36, Philadelphia County, Pennsylvania",1354,465
1500000US421010036003,421010036003,"Block Group 3, Census Tract 36, Philadelphia County, Pennsylvania",2273,842
1500000US421010036004,421010036004,"Block Group 4, Census Tract 36, Philadelphia County, Pennsylvania",1070,532
1500000US421010037011,421010037011,"Block Group 1, Census Tract 37.01, Philadelphia County, Pennsylvania",519,222
1500000US421010037012,421010037012,"Block Group 2, Census Tract 37.01, Philadelphia County, Pennsylvania",1165,494
1500000US421010037013,421010037013,"Block Group 3, Census Tract 37.01, Philadelphia County, Pennsylvania",2610,775
1500000US421010037014,421010037014,"Block Group 4, Census Tract 37.01, Philadelphia County, Pennsylvania",996,428
1500000US421010037015,421010037015,"Block Group 5, Census Tract 37.01, Philadelphia County, Pennsylvania",753,447
1500000US421010037021,421010037021,"Block Group 1, Census Tract 37.02, Philadelphia County, Pennsylvania",2012,457
1500000US421010037022,421010037022,"Block Group 2, Census Tract 37.02, Philadelphia County, Pennsylvania",1290,414
1500000US421010037023,421010037023,"Block Group 3, Census Tract 37.02, Philadelphia County, Pennsylvania",924,364
1500000US421010038001,421010038001,"Block Group 1, Census Tract 38, Philadelphia County, Pennsylvania",1200,271
1500000US421010038002,421010038002,"Block Group 2, Census Tract 38, Philadelphia County, Pennsylvania",845,153
1500000US421010038003,421010038003,"Block Group 3, Census Tract 38, Philadelphia County, Pennsylvania",893,247
1500000US421010038004,421010038004,"Block Group 4, Census Tract 38, Philadelphia County, Pennsylvania",891,227
1500000US421010039011,421010039011,"Block Group 1, Census Tract 39.01, Philadelphia County, Pennsylvania",1523,420
1500000US421010039012,421010039012,"Block Group 2, Census Tract 39.01, Philadelphia County, Pennsylvania",1698,589
1500000US421010039013,421010039013,"Block Group 3, Census Tract 39.01, Philadelphia County, Pennsylvania",2112,566
1500000US421010039014,421010039014,"Block Group 4, Census Tract 39.01, Philadelphia County, Pennsylvania",1277,394
1500000US421010039021,421010039021,"Block Group 1, Census Tract 39.02, Philadelphia County, Pennsylvania",1798,427
1500000US421010039022,421010039022,"Block Group 2, Census Tract 39.02, Philadelphia County, Pennsylvania",825,381
