GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US420293001011,420293001011,"Block Group 1, Census Tract 3001.01, Chester County, Pennsylvania",1355,185
1500000US420293001012,420293001012,"Block Group 2, Census Tract 3001.01, Chester County, Pennsylvania",1701,176
1500000US420293001031,420293001031,"Block Group 1, Census Tract 3001.03, Chester County, Pennsylvania",1951,239
1500000US420293001032,420293001032,"Block Group 2, Census Tract 3001.03, Chester County, Pennsylvania",704,207
1500000US420293001041,420293001041,"Block Group 1, Census Tract 3001.04, Chester County, Pennsylvania",1704,223
1500000US420293001042,420293001042,"Block Group 2, Census Tract 3001.04, Chester County, Pennsylvania",1861,224
1500000US420293001043,420293001043,"Block Group 3, Census Tract 3001.04, Chester County, Pennsylvania",1616,203
1500000US420293001061,420293001061,"Block Group 1, Census Tract 3001.06, Chester County, Pennsylvania",1898,289
1500000US420293001062,420293001062,"Block Group 2, Census Tract 3001.06, Chester County, Pennsylvania",1544,288
1500000US420293001063,420293001063,"Block Group 3, Census Tract 3001.06, Chester County, Pennsylvania",1233,320
1500000US420293001071,420293001071,"Block Group 1, Census Tract 3001.07, Chester County, Pennsylvania",1371,213
1500000US420293001072,420293001072,"Block Group 2, Census Tract 3001.07, Chester County, Pennsylvania",2795,252
1500000US420293001081,420293001081,"Block Group 1, Census Tract 3001.08, Chester County, Pennsylvania",2083,363
1500000US420293001082,420293001082,"Block Group 2, Census Tract 3001.08, Chester County, Pennsylvania",2911,372
1500000US420293001083,420293001083,"Block Group 3, Census Tract 3001.08, Chester County, Pennsylvania",1239,223
1500000US420293001091,420293001091,"Block Group 1, Census Tract 3001.09, Chester County, Pennsylvania",1051,165
1500000US420293001092,420293001092,"Block Group 2, Census Tract 3001.09, Chester County, Pennsylvania",748,153
1500000US420293001093,420293001093,"Block Group 3, Census Tract 3001.09, Chester County, Pennsylvania",1757,202
1500000US420293002011,420293002011,"Block Group 1, Census Tract 3002.01, Chester County, Pennsylvania",2193,333
1500000US420293002012,420293002012,"Block Group 2, Census Tract 3002.01, Chester County, Pennsylvania",1077,262
1500000US420293002013,420293002013,"Block Group 3, Census Tract 3002.01, Chester County, Pennsylvania",1037,317
1500000US420293002014,420293002014,"Block Group 4, Census Tract 3002.01, Chester County, Pennsylvania",847,228
1500000US420293002021,420293002021,"Block Group 1, Census Tract 3002.02, Chester County, Pennsylvania",1044,170
1500000US420293002022,420293002022,"Block Group 2, Census Tract 3002.02, Chester County, Pennsylvania",2041,238
1500000US420293002023,420293002023,"Block Group 3, Census Tract 3002.02, Chester County, Pennsylvania",2345,291
1500000US420293003011,420293003011,"Block Group 1, Census Tract 3003.01, Chester County, Pennsylvania",1241,246
1500000US420293003012,420293003012,"Block Group 2, Census Tract 3003.01, Chester County, Pennsylvania",2805,275
1500000US420293003021,420293003021,"Block Group 1, Census Tract 3003.02, Chester County, Pennsylvania",1501,339
1500000US420293003022,420293003022,"Block Group 2, Census Tract 3003.02, Chester County, Pennsylvania",2254,293
1500000US420293003031,420293003031,"Block Group 1, Census Tract 3003.03, Chester County, Pennsylvania",1394,191
1500000US420293003032,420293003032,"Block Group 2, Census Tract 3003.03, Chester County, Pennsylvania",1656,165
1500000US420293004001,420293004001,"Block Group 1, Census Tract 3004, Chester County, Pennsylvania",1252,232
1500000US420293004002,420293004002,"Block Group 2, Census Tract 3004, Chester County, Pennsylvania",2186,231
1500000US420293005011,420293005011,"Block Group 1, Census Tract 3005.01, Chester County, Pennsylvania",2252,225
1500000US420293005012,420293005012,"Block Group 2, Census Tract 3005.01, Chester County, Pennsylvania",2475,217
1500000US420293005021,420293005021,"Block Group 1, Census Tract 3005.02, Chester County, Pennsylvania",771,164
1500000US420293005022,420293005022,"Block Group 2, Census Tract 3005.02, Chester County, Pennsylvania",1456,235
1500000US420293005023,420293005023,"Block Group 3, Census Tract 3005.02, Chester County, Pennsylvania",1429,254
1500000US420293006001,420293006001,"Block Group 1, Census Tract 3006, Chester County, Pennsylvania",1050,330
1500000US420293006002,420293006002,"Block Group 2, Census Tract 3006, Chester County, Pennsylvania",1238,253
1500000US420293006003,420293006003,"Block Group 3, Census Tract 3006, Chester County, Pennsylvania",3025,347
1500000US420293007001,420293007001,"Block Group 1, Census Tract 3007, Chester County, Pennsylvania",1310,502
1500000US420293007002,420293007002,"Block Group 2, Census Tract 3007, Chester County, Pennsylvania",1452,368
1500000US420293007003,420293007003,"Block Group 3, Census Tract 3007, Chester County, Pennsylvania",1139,351
1500000US420293007004,420293007004,"Block Group 4, Census Tract 3007, Chester County, Pennsylvania",1388,368
1500000US420293008001,420293008001,"Block Group 1, Census Tract 3008, Chester County, Pennsylvania",2650,367
1500000US420293008002,420293008002,"Block Group 2, Census Tract 3008, Chester County, Pennsylvania",1488,295
1500000US420293009001,420293009001,"Block Group 1, Census Tract 3009, Chester County, Pennsylvania",576,108
1500000US420293009002,420293009002,"Block Group 2, Census Tract 3009, Chester County, Pennsylvania",678,207
1500000US420293009003,420293009003,"Block Group 3, Census Tract 3009, Chester County, Pennsylvania",971,195
1500000US420293010001,420293010001,"Block Group 1, Census Tract 3010, Chester County, Pennsylvania",1345,266
1500000US420293010002,420293010002,"Block Group 2, Census Tract 3010, Chester County, Pennsylvania",402,174
1500000US420293010003,420293010003,"Block Group 3, Census Tract 3010, Chester County, Pennsylvania",1536,387
1500000US420293010004,420293010004,"Block Group 4, Census Tract 3010, Chester County, Pennsylvania",4030,443
1500000US420293011001,420293011001,"Block Group 1, Census Tract 3011, Chester County, Pennsylvania",1510,273
1500000US420293011002,420293011002,"Block Group 2, Census Tract 3011, Chester County, Pennsylvania",769,198
1500000US420293011003,420293011003,"Block Group 3, Census Tract 3011, Chester County, Pennsylvania",1071,299
1500000US420293013001,420293013001,"Block Group 1, Census Tract 3013, Chester County, Pennsylvania",1770,328
1500000US420293013002,420293013002,"Block Group 2, Census Tract 3013, Chester County, Pennsylvania",1796,412
1500000US420293013003,420293013003,"Block Group 3, Census Tract 3013, Chester County, Pennsylvania",3194,444
1500000US420293014011,420293014011,"Block Group 1, Census Tract 3014.01, Chester County, Pennsylvania",1365,200
