GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US420710001001,420710001001,"Block Group 1, Census Tract 1, Lancaster County, Pennsylvania",616,205
1500000US420710001002,420710001002,"Block Group 2, Census Tract 1, Lancaster County, Pennsylvania",444,124
1500000US420710001003,420710001003,"Block Group 3, Census Tract 1, Lancaster County, Pennsylvania",1812,420
1500000US420710002001,420710002001,"Block Group 1, Census Tract 2, Lancaster County, Pennsylvania",1369,310
1500000US420710002002,420710002002,"Block Group 2, Census Tract 2, Lancaster County, Pennsylvania",1707,520
1500000US420710003001,420710003001,"Block Group 1, Census Tract 3, Lancaster County, Pennsylvania",1227,359
1500000US420710003002,420710003002,"Block Group 2, Census Tract 3, Lancaster County, Pennsylvania",989,318
1500000US420710003003,420710003003,"Block Group 3, Census Tract 3, Lancaster County, Pennsylvania",1413,434
1500000US420710003004,420710003004,"Block Group 4, Census Tract 3, Lancaster County, Pennsylvania",1640,335
1500000US420710004001,420710004001,"Block Group 1, Census Tract 4, Lancaster County, Pennsylvania",1971,455
1500000US420710004002,420710004002,"Block Group 2, Census Tract 4, Lancaster County, Pennsylvania",432,204
1500000US420710004003,420710004003,"Block Group 3, Census Tract 4, Lancaster County, Pennsylvania",994,251
1500000US420710004004,420710004004,"Block Group 4, Census Tract 4, Lancaster County, Pennsylvania",683,133
1500000US420710005001,420710005001,"Block Group 1, Census Tract 5, Lancaster County, Pennsylvania",956,203
1500000US420710005002,420710005002,"Block Group 2, Census Tract 5, Lancaster County, Pennsylvania",1154,298
1500000US420710005003,420710005003,"Block Group 3, Census Tract 5, Lancaster County, Pennsylvania",924,175
1500000US420710005004,420710005004,"Block Group 4, Census Tract 5, Lancaster County, Pennsylvania",1664,270
1500000US420710006001,420710006001,"Block Group 1, Census Tract 6, Lancaster County, Pennsylvania",630,145
1500000US420710006002,420710006002,"Block Group 2, Census Tract 6, Lancaster County, Pennsylvania",521,208
1500000US420710006003,420710006003,"Block Group 3, Census Tract 6, Lancaster County, Pennsylvania",1169,238
1500000US420710006004,420710006004,"Block Group 4, Census Tract 6, Lancaster County, Pennsylvania",865,179
1500000US420710007001,420710007001,"Block Group 1, Census Tract 7, Lancaster County, Pennsylvania",893,327
1500000US420710007002,420710007002,"Block Group 2, Census Tract 7, Lancaster County, Pennsylvania",849,276
1500000US420710007003,420710007003,"Block Group 3, Census Tract 7, Lancaster County, Pennsylvania",2404,328
1500000US420710008001,420710008001,"Block Group 1, Census Tract 8, Lancaster County, Pennsylvania",562,177
1500000US420710008002,420710008002,"Block Group 2, Census Tract 8, Lancaster County, Pennsylvania",866,325
1500000US420710008003,420710008003,"Block Group 3, Census Tract 8, Lancaster County, Pennsylvania",1158,372
1500000US420710008004,420710008004,"Block Group 4, Census Tract 8, Lancaster County, Pennsylvania",951,322
1500000US420710009001,420710009001,"Block Group 1, Census Tract 9, Lancaster County, Pennsylvania",569,318
1500000US420710009002,420710009002,"Block Group 2, Census Tract 9, Lancaster County, Pennsylvania",955,303
1500000US420710009003,420710009003,"Block Group 3, Census Tract 9, Lancaster County, Pennsylvania",679,250
1500000US420710009004,420710009004,"Block Group 4, Census Tract 9, Lancaster County, Pennsylvania",1331,387
1500000US420710010001,420710010001,"Block Group 1, Census Tract 10, Lancaster County, Pennsylvania",953,301
1500000US420710010002,420710010002,"Block Group 2, Census Tract 10, Lancaster County, Pennsylvania",643,219
1500000US420710010003,420710010003,"Block Group 3, Census Tract 10, Lancaster County, Pennsylvania",852,271
1500000US420710010004,420710010004,"Block Group 4, Census Tract 10, Lancaster County, Pennsylvania",860,271
1500000US420710011001,420710011001,"Block Group 1, Census Tract 11, Lancaster County, Pennsylvania",1580,621
1500000US420710011002,420710011002,"Block Group 2, Census Tract 11, Lancaster County, Pennsylvania",1225,355
1500000US420710011003,420710011003,"Block Group 3, Census Tract 11, Lancaster County, Pennsylvania",555,335
1500000US420710012001,420710012001,"Block Group 1, Census Tract 12, Lancaster County, Pennsylvania",1169,364
1500000US420710012002,420710012002,"Block Group 2, Census Tract 12, Lancaster County, Pennsylvania",2239,442
1500000US420710012003,420710012003,"Block Group 3, Census Tract 12, Lancaster County, Pennsylvania",1640,352
